Date,Country/Region,Province/State,Lat,Long,Confirmed,Recovered,Deaths,WeekNum,Month,Last7Days,Last14Days,Last30Days,CasesPM,DeathsPM,MyCountries,GrowthPerDay,PercentChange,DeathPerDay,DeathPerChange
2020-03-23,Albania,,41.1533,20.1683,104,2,4,13,3,False,False,False,0,0,False,15,0.0,2,0.0
2020-03-24,Albania,,41.1533,20.1683,123,10,5,13,3,False,False,False,0,0,False,19,0.0,1,0.0
2020-03-25,Albania,,41.1533,20.1683,146,17,5,13,3,False,False,False,0,0,False,23,0.0,0,0.0
2020-03-26,Albania,,41.1533,20.1683,174,17,6,13,3,False,False,False,0,0,False,28,0.0,1,0.0
2020-03-27,Albania,,41.1533,20.1683,186,31,8,13,3,False,False,False,0,0,False,12,0.0,2,0.0
2020-03-28,Albania,,41.1533,20.1683,197,31,10,13,3,False,False,False,0,0,False,11,0.0,2,0.0
2020-03-29,Albania,,41.1533,20.1683,212,33,10,13,3,False,False,False,0,0,False,15,0.0,0,0.0
2020-03-30,Albania,,41.1533,20.1683,223,44,11,14,3,False,False,False,0,0,False,11,0.0,1,0.0
2020-03-31,Albania,,41.1533,20.1683,243,52,15,14,3,False,False,False,0,0,False,20,0.0,4,0.0
2020-04-01,Albania,,41.1533,20.1683,259,67,15,14,4,False,False,False,0,0,False,16,0.0,0,0.0
2020-04-02,Albania,,41.1533,20.1683,277,76,16,14,4,False,False,False,0,0,False,18,0.0,1,0.0
2020-04-03,Albania,,41.1533,20.1683,304,89,17,14,4,False,False,False,0,0,False,27,0.0,1,0.0
2020-04-04,Albania,,41.1533,20.1683,333,99,20,14,4,False,False,True,0,0,False,29,0.0,3,0.0
2020-04-05,Albania,,41.1533,20.1683,361,104,20,14,4,False,False,True,0,0,False,28,0.0,0,0.0
2020-04-06,Albania,,41.1533,20.1683,377,116,21,15,4,False,False,True,0,0,False,16,0.0,1,0.0
2020-04-07,Albania,,41.1533,20.1683,383,131,22,15,4,False,False,True,0,0,False,6,0.0,1,0.0
2020-04-08,Albania,,41.1533,20.1683,400,154,22,15,4,False,False,True,0,0,False,17,0.0,0,0.0
2020-04-09,Albania,,41.1533,20.1683,409,165,23,15,4,False,False,True,0,0,False,9,0.0,1,0.0
2020-04-10,Albania,,41.1533,20.1683,416,182,23,15,4,False,False,True,0,0,False,7,0.0,0,0.0
2020-04-11,Albania,,41.1533,20.1683,433,197,23,15,4,False,False,True,0,0,False,17,0.0,0,0.0
2020-04-12,Albania,,41.1533,20.1683,446,217,23,15,4,False,False,True,0,0,False,13,0.0,0,0.0
2020-04-13,Albania,,41.1533,20.1683,467,232,23,16,4,False,False,True,0,0,False,21,0.0,0,0.0
2020-04-14,Albania,,41.1533,20.1683,475,248,24,16,4,False,False,True,0,0,False,8,0.0,1,0.0
2020-04-15,Albania,,41.1533,20.1683,494,251,25,16,4,False,False,True,0,0,False,19,0.0,1,0.0
2020-04-16,Albania,,41.1533,20.1683,518,277,26,16,4,False,False,True,0,0,False,24,0.0,1,0.0
2020-04-17,Albania,,41.1533,20.1683,539,283,26,16,4,False,False,True,0,0,False,21,0.0,0,0.0
2020-04-18,Albania,,41.1533,20.1683,548,302,26,16,4,False,False,True,0,0,False,9,0.0,0,0.0
2020-04-19,Albania,,41.1533,20.1683,562,314,26,16,4,False,False,True,0,0,False,14,0.0,0,0.0
2020-04-20,Albania,,41.1533,20.1683,584,327,26,17,4,False,True,True,0,0,False,22,0.0,0,0.0
2020-04-21,Albania,,41.1533,20.1683,609,345,26,17,4,False,True,True,0,0,False,25,0.0,0,0.0
2020-04-22,Albania,,41.1533,20.1683,634,356,27,17,4,False,True,True,0,0,False,25,0.0,1,0.0
2020-04-23,Albania,,41.1533,20.1683,663,385,27,17,4,False,True,True,0,0,False,29,0.0,0,0.0
2020-04-24,Albania,,41.1533,20.1683,678,394,27,17,4,False,True,True,0,0,False,15,0.0,0,0.0
2020-04-25,Albania,,41.1533,20.1683,712,403,27,17,4,False,True,True,0,0,False,34,0.0,0,0.0
2020-04-26,Albania,,41.1533,20.1683,726,410,28,17,4,False,True,True,0,0,False,14,0.0,1,0.0
2020-04-27,Albania,,41.1533,20.1683,736,422,28,18,4,True,True,True,0,0,False,10,0.0,0,0.0
2020-04-28,Albania,,41.1533,20.1683,750,431,30,18,4,True,True,True,0,0,False,14,0.0,2,0.0
2020-04-29,Albania,,41.1533,20.1683,766,455,30,18,4,True,True,True,0,0,False,16,0.0,0,0.0
2020-04-30,Albania,,41.1533,20.1683,773,470,31,18,4,True,True,True,0,0,False,7,0.0,1,0.0
2020-05-01,Albania,,41.1533,20.1683,782,488,31,18,5,True,True,True,0,0,False,9,0.0,0,0.0
2020-05-02,Albania,,41.1533,20.1683,789,519,31,18,5,True,True,True,0,0,False,7,0.0,0,0.0
2020-05-03,Albania,,41.1533,20.1683,795,531,31,18,5,True,True,True,0,0,False,6,0.0,0,0.0
2020-01-22,Algeria,,28.0339,1.6596,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-23,Algeria,,28.0339,1.6596,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-24,Algeria,,28.0339,1.6596,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-25,Algeria,,28.0339,1.6596,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-26,Algeria,,28.0339,1.6596,0,0,0,4,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-27,Algeria,,28.0339,1.6596,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-28,Algeria,,28.0339,1.6596,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-29,Algeria,,28.0339,1.6596,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-30,Algeria,,28.0339,1.6596,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-01-31,Algeria,,28.0339,1.6596,0,0,0,5,1,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-01,Algeria,,28.0339,1.6596,0,0,0,5,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-02,Algeria,,28.0339,1.6596,0,0,0,5,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-03,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-04,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-05,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-06,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-07,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-08,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-09,Algeria,,28.0339,1.6596,0,0,0,6,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-10,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-11,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-12,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-13,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-14,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-15,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-16,Algeria,,28.0339,1.6596,0,0,0,7,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-17,Algeria,,28.0339,1.6596,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-18,Algeria,,28.0339,1.6596,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-19,Algeria,,28.0339,1.6596,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-20,Algeria,,28.0339,1.6596,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
2020-02-21,Algeria,,28.0339,1.6596,0,0,0,8,2,False,False,False,0,0,False,0,0.0,0,0.0
